rp_fa_code,rp_fa_type,rp_fa,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
53105sfoo,Households,"  Owner-occupied, 1-4 units, new",569.00,596.00,609.00,625.00,668.00,661.00,603.00,486.00,477.00,528.00,520.00,543.00,604.00,624.00,635.00,668.00,742.00,802.00,865.00,937.00,1001.00,1105.00,1388.00,1586.00,1691.00,1843.00,2103.00,2271.00,2396.00,2521.00,2718.00,2943.00,3072.00,3171.00,3285.00,3337.00,3352.00,3374.00,3459.00,3602.00,3842.00,4096.00,4368.00,4743.00,5161.00,5412.00,5891.00,6502.00,7353.00,8276.00,9220.00,10090.00,11600.00,13735.00,16005.00,18308.00,20105.00,21181.00,21717.00,22919.00,24057.00,25817.00,27819.00,29840.00,31915.00,33687.00,34635.00,35759.00,38500.00,41533.00,44543.00,46639.00,49384.00,52179.00,56283.00,60786.00,65852.00,69757.00,76036.00,85465.00,95226.00,104746.00,108603.00,106621.00,102619.00,100952.00,101698.00,102563.00,108587.00,117373.00,121192.00,127782.00
53105asoo,Households,"  Owner-occupied, 1-4 units, additions and alterations",125.00,129.00,129.00,134.00,144.00,145.00,133.00,109.00,108.00,121.00,122.00,132.00,151.00,161.00,166.00,177.00,199.00,217.00,235.00,256.00,275.00,312.00,412.00,493.00,547.00,604.00,694.00,761.00,816.00,869.00,941.00,1024.00,1088.00,1147.00,1223.00,1306.00,1382.00,1443.00,1507.00,1585.00,1668.00,1777.00,1913.00,2078.00,2325.00,2515.00,2755.00,2978.00,3308.00,3806.00,4248.00,4673.00,5346.00,6134.00,7050.00,8129.00,9129.00,9827.00,10283.00,10879.00,11399.00,12070.00,12870.00,13760.00,14690.00,15552.00,16243.00,16879.00,17940.00,18783.00,19919.00,20901.00,22038.00,23102.00,24662.00,26466.00,28382.00,29878.00,32186.00,35686.00,39284.00,43116.00,45443.00,47242.00,46881.00,48509.00,50995.00,52604.00,55709.00,59581.00,61500.00,64804.00
53105msoo,Households,"  Owner-occupied, 1-4 units, major replacements",18.00,20.00,21.00,23.00,25.00,25.00,23.00,19.00,19.00,21.00,22.00,24.00,27.00,29.00,30.00,32.00,36.00,40.00,43.00,47.00,51.00,62.00,87.00,109.00,126.00,144.00,170.00,192.00,211.00,230.00,255.00,285.00,310.00,333.00,364.00,399.00,437.00,471.00,507.00,545.00,582.00,635.00,692.00,766.00,862.00,961.00,1078.00,1181.00,1310.00,1531.00,1744.00,1913.00,2121.00,2393.00,2757.00,3201.00,3645.00,3971.00,4201.00,4439.00,4671.00,4926.00,5165.00,5456.00,5795.00,6158.00,6531.00,6782.00,7103.00,7325.00,7876.00,8482.00,9033.00,9595.00,10317.00,11097.00,11899.00,12577.00,13538.00,15052.00,16684.00,18432.00,19555.00,20708.00,20365.00,21034.00,22105.00,22524.00,23299.00,24241.00,24505.00,25300.00
53105mfoo,Households,"  Owner-occupied, 5+ units, new",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,8.00,9.00,11.00,16.00,18.00,19.00,21.00,23.00,24.00,24.00,25.00,26.00,27.00,27.00,31.00,40.00,49.00,64.00,91.00,125.00,166.00,213.00,229.00,244.00,265.00,289.00,303.00,326.00,359.00,459.00,508.00,569.00,615.00,682.00,792.00,859.00,957.00,1074.00,1225.00,1354.00,1476.00,1634.00,1817.00,1978.00,2103.00,2169.00,2192.00,2276.00,2343.00,2410.00,2426.00,2495.00,2614.00,2791.00,3100.00,3283.00,3523.00,3707.00,3922.00,4170.00,4504.00,4952.00,5634.00,6070.00,6394.00,6555.00,6742.00,6591.00,6714.00,6941.00,7319.00,8297.00,8951.00
53105amoo,Households,"  Owner-occupied, 5+ units, additions and alterations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,5.00,5.00,6.00,6.00,7.00,7.00,8.00,9.00,9.00,10.00,11.00,13.00,14.00,15.00,17.00,18.00,21.00,24.00,26.00,30.00,35.00,40.00,46.00,52.00,56.00,58.00,64.00,79.00,111.00,158.00,203.00,229.00,247.00,274.00,295.00,314.00,342.00,394.00,427.00,450.00,476.00,507.00,545.00,586.00,620.00,670.00,745.00,822.00,918.00,975.00,989.00,961.00,974.00,1004.00,1016.00,1057.00,1110.00,1126.00,1165.00
53105mmoo,Households,"  Owner-occupied, 5+ units, major replacements",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,5.00,5.00,5.00,6.00,6.00,7.00,8.00,8.00,9.00,10.00,12.00,13.00,15.00,17.00,19.00,21.00,23.00,26.00,30.00,35.00,41.00,48.00,57.00,70.00,83.00,94.00,106.00,115.00,122.00,136.00,149.00,155.00,162.00,181.00,199.00,211.00,223.00,245.00,277.00,308.00,324.00,352.00,414.00,481.00,568.00,627.00,653.00,631.00,642.00,665.00,668.00,682.00,700.00,699.00,713.00
53105mhoo,Households,"  Owner-occupied, manufactured homes",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,7.00,14.00,19.00,23.00,28.00,34.00,41.00,46.00,54.00,69.00,84.00,96.00,109.00,121.00,132.00,130.00,132.00,152.00,180.00,203.00,235.00,283.00,371.00,461.00,547.00,650.00,818.00,1017.00,1206.00,1334.00,1527.00,1759.00,2035.00,2311.00,2498.00,2656.00,2777.00,2897.00,3034.00,3152.00,3265.00,3477.00,3673.00,3823.00,3929.00,4002.00,4213.00,4587.00,4998.00,5295.00,5556.00,5814.00,6149.00,6369.00,6494.00,6575.00,6670.00,7188.00,7561.00,7666.00,7710.00,7883.00,7858.00,7846.00,7928.00,7945.00,8058.00,8056.00,8080.00,8027.00
53105acoo,Households,"  Owner-occupied, acquisition costs",28.00,32.00,34.00,35.00,37.00,35.00,31.00,25.00,24.00,27.00,27.00,28.00,30.00,30.00,29.00,30.00,33.00,35.00,38.00,42.00,47.00,57.00,75.00,86.00,90.00,96.00,109.00,120.00,129.00,141.00,158.00,176.00,188.00,198.00,213.00,230.00,244.00,259.00,273.00,293.00,320.00,354.00,386.00,433.00,506.00,553.00,630.00,732.00,868.00,1023.00,1180.00,1358.00,1656.00,2031.00,2426.00,2711.00,2849.00,2917.00,3020.00,3279.00,3636.00,4159.00,4755.00,5185.00,5613.00,5833.00,5944.00,6125.00,6597.00,7140.00,7489.00,7856.00,8245.00,8933.00,9779.00,10811.00,12002.00,12955.00,14521.00,16426.00,19083.00,20913.00,21282.00,19926.00,17970.00,16762.00,15560.00,15150.00,16214.00,17464.00,18090.00,19036.00
53105dcoo,Households,"  Owner-occupied, disposal costs",121.00,134.00,142.00,147.00,155.00,149.00,131.00,104.00,98.00,111.00,113.00,117.00,126.00,127.00,123.00,125.00,137.00,148.00,162.00,183.00,208.00,255.00,347.00,399.00,419.00,446.00,507.00,558.00,603.00,656.00,729.00,808.00,854.00,892.00,951.00,1024.00,1075.00,1132.00,1192.00,1273.00,1379.00,1505.00,1615.00,1778.00,2041.00,2185.00,2450.00,2824.00,3352.00,3974.00,4648.00,5482.00,6872.00,8654.00,10633.00,12196.00,13083.00,13552.00,14038.00,15150.00,16738.00,19116.00,21883.00,23998.00,26058.00,27198.00,28102.00,29365.00,31861.00,34711.00,36746.00,38850.00,40932.00,44446.00,48887.00,54472.00,60843.00,65772.00,73425.00,82759.00,96096.00,105488.00,107828.00,101966.00,93543.00,89116.00,84629.00,84089.00,91521.00,99952.00,104580.00,110680.00
53105sfto,Households,"  Tenant-occupied, 1-4 units, new",238.00,251.00,257.00,265.00,284.00,282.00,257.00,208.00,204.00,226.00,222.00,233.00,259.00,268.00,273.00,288.00,320.00,345.00,370.00,400.00,426.00,461.00,556.00,605.00,615.00,635.00,686.00,708.00,717.00,723.00,745.00,773.00,780.00,783.00,789.00,889.00,982.00,1089.00,1091.00,1119.00,1189.00,1289.00,1337.00,1421.00,1535.00,1584.00,1688.00,1849.00,2074.00,2346.00,2600.00,2764.00,3066.00,3502.00,3967.00,4453.00,4817.00,5002.00,5032.00,5174.00,5284.00,5509.00,5748.00,5960.00,6167.00,6318.00,6326.00,6340.00,6600.00,6876.00,7143.00,7254.00,7442.00,7624.00,7961.00,8321.00,8733.00,8967.00,9467.00,10283.00,11028.00,11701.00,11822.00,11409.00,10867.00,10624.00,10618.00,10614.00,11117.00,11877.00,12110.00,12598.00
53105asto,Households,"  Tenant-occupied, 1-4 units, additions and alterations",6.00,6.00,6.00,6.00,6.00,7.00,6.00,5.00,5.00,5.00,5.00,6.00,7.00,7.00,7.00,8.00,9.00,9.00,10.00,11.00,11.00,13.00,17.00,19.00,21.00,23.00,26.00,29.00,31.00,33.00,35.00,38.00,41.00,43.00,46.00,49.00,56.00,66.00,76.00,86.00,98.00,110.00,125.00,143.00,166.00,186.00,211.00,236.00,270.00,317.00,361.00,405.00,471.00,548.00,646.00,770.00,902.00,998.00,1046.00,1111.00,1166.00,1240.00,1337.00,1436.00,1532.00,1626.00,1689.00,1728.00,1833.00,1922.00,2054.00,2228.00,2433.00,2586.00,2783.00,3024.00,3242.00,3371.00,3629.00,4055.00,4479.00,4889.00,5115.00,5305.00,5253.00,5426.00,5694.00,5863.00,6198.00,6618.00,6819.00,7174.00
