yk,yk_code,yk_desc,dig_code,dig_desc,pro,tra,who,ret,pur
1,F02S00,Nonresidential private fixed investment in structures,213111,Drilling oil and gas wells,52643,0,0,0,52643
1,F02S00,Nonresidential private fixed investment in structures,21311A,Other support activities for mining,49583,0,0,0,49583
1,F02S00,Nonresidential private fixed investment in structures,233210,Health care structures,40056,0,0,0,40056
1,F02S00,Nonresidential private fixed investment in structures,233230,Manufacturing structures,40215,0,0,0,40215
1,F02S00,Nonresidential private fixed investment in structures,233240,Power and communication structures,81603,0,0,0,81603
1,F02S00,Nonresidential private fixed investment in structures,233262,Educational and vocational structures,16909,0,0,0,16909
1,F02S00,Nonresidential private fixed investment in structures,233293,Highways and streets,1159,0,0,0,1159
1,F02S00,Nonresidential private fixed investment in structures,2332A0,"Commercial structures, including farm structures",141417,0,0,0,141417
1,F02S00,Nonresidential private fixed investment in structures,2332B0,Other nonresidential structures,72348,0,0,0,72348
1,F02S00,Nonresidential private fixed investment in structures,3219A0,All other wood product manufacturing,452,21,63,0,535
1,F02S00,Nonresidential private fixed investment in structures,420000,Wholesale trade,63,0,0,0,0
1,F02S00,Nonresidential private fixed investment in structures,484000,Truck transportation,21,0,0,0,0
1,F02S00,Nonresidential private fixed investment in structures,531ORE,Other real estate,3383,0,0,0,3383
1,F02S00,Nonresidential private fixed investment in structures,S00402,Used and secondhand goods,-2923,0,0,0,-2923
2,F02E00,Nonresidential private fixed investment in equipment,2122A0,"Iron, gold, silver, and other metal ore mining",157,26,4,0,188
2,F02E00,Nonresidential private fixed investment in equipment,21311A,Other support activities for mining,1525,0,0,0,1525
2,F02E00,Nonresidential private fixed investment in equipment,332200,Cutlery and handtool manufacturing,261,7,150,5,423
2,F02E00,Nonresidential private fixed investment in equipment,332310,Plate work and fabricated structural product manufacturing,122,3,10,0,135
2,F02E00,Nonresidential private fixed investment in equipment,332320,Ornamental and architectural metal products manufacturing,414,11,38,0,463
2,F02E00,Nonresidential private fixed investment in equipment,332410,Power boiler and heat exchanger manufacturing,2672,69,1185,0,3925
2,F02E00,Nonresidential private fixed investment in equipment,332420,Metal tank (heavy gauge) manufacturing,3759,99,127,0,3985
2,F02E00,Nonresidential private fixed investment in equipment,332430,"Metal can, box, and other metal container (light gauge) manufacturing",179,5,14,0,198
2,F02E00,Nonresidential private fixed investment in equipment,332500,Hardware manufacturing,245,7,141,0,393
2,F02E00,Nonresidential private fixed investment in equipment,33291A,Valve and fittings other than plumbing,2455,64,1088,0,3606
2,F02E00,Nonresidential private fixed investment in equipment,332996,Fabricated pipe and pipe fitting manufacturing,778,20,87,0,885
2,F02E00,Nonresidential private fixed investment in equipment,33299B,Other fabricated metal manufacturing,453,11,51,0,514
2,F02E00,Nonresidential private fixed investment in equipment,333111,Farm machinery and equipment manufacturing,17293,485,4567,0,22345
2,F02E00,Nonresidential private fixed investment in equipment,333112,Lawn and garden equipment manufacturing,5752,160,1357,9030,16298
2,F02E00,Nonresidential private fixed investment in equipment,333120,Construction machinery manufacturing,23196,656,3871,0,27722
2,F02E00,Nonresidential private fixed investment in equipment,333130,Mining and oil and gas field machinery manufacturing,9971,275,2150,0,12395
2,F02E00,Nonresidential private fixed investment in equipment,33329A,Other industrial machinery manufacturing,16568,450,2495,0,19513
2,F02E00,Nonresidential private fixed investment in equipment,333220,Plastics and rubber industry machinery manufacturing,3882,106,590,0,4578
2,F02E00,Nonresidential private fixed investment in equipment,333295,Semiconductor machinery manufacturing,5998,165,911,0,7074
2,F02E00,Nonresidential private fixed investment in equipment,33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",9181,260,5346,29,14817
2,F02E00,Nonresidential private fixed investment in equipment,333313,Office machinery manufacturing,2059,56,376,552,3043
2,F02E00,Nonresidential private fixed investment in equipment,333314,Optical instrument and lens manufacturing,2800,76,727,0,3603
2,F02E00,Nonresidential private fixed investment in equipment,333315,Photographic and photocopying equipment manufacturing,1450,40,520,536,2547
2,F02E00,Nonresidential private fixed investment in equipment,33341A,Air purification and ventilation equipment manufacturing,2919,80,1173,0,4171
2,F02E00,Nonresidential private fixed investment in equipment,333414,Heating equipment (except warm air furnaces) manufacturing,85,2,38,0,125
2,F02E00,Nonresidential private fixed investment in equipment,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",6608,180,3122,0,9911
2,F02E00,Nonresidential private fixed investment in equipment,333511,Industrial mold manufacturing,5643,154,857,0,6655
2,F02E00,Nonresidential private fixed investment in equipment,33351A,Metal cutting and forming machine tool manufacturing,7247,197,1093,0,8537
2,F02E00,Nonresidential private fixed investment in equipment,333514,"Special tool, die, jig, and fixture manufacturing",7660,210,1164,0,9034
2,F02E00,Nonresidential private fixed investment in equipment,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",2242,61,341,0,2645
2,F02E00,Nonresidential private fixed investment in equipment,333611,Turbine and turbine generator set units manufacturing,6513,183,990,0,7685
2,F02E00,Nonresidential private fixed investment in equipment,333618,Other engine equipment manufacturing,2563,72,389,54,3077
2,F02E00,Nonresidential private fixed investment in equipment,33391A,Pump and pumping equipment manufacturing,8219,226,1249,0,9694
2,F02E00,Nonresidential private fixed investment in equipment,333912,Air and gas compressor manufacturing,6156,168,935,0,7260
2,F02E00,Nonresidential private fixed investment in equipment,333920,Material handling equipment manufacturing,18902,519,2872,0,22293
2,F02E00,Nonresidential private fixed investment in equipment,333991,Power-driven handtool manufacturing,2398,66,364,1866,4694
2,F02E00,Nonresidential private fixed investment in equipment,33399A,Other general purpose machinery manufacturing,11225,307,1705,0,13238
2,F02E00,Nonresidential private fixed investment in equipment,333993,Packaging machinery manufacturing,4164,114,633,0,4911
2,F02E00,Nonresidential private fixed investment in equipment,333994,Industrial process furnace and oven manufacturing,1196,33,182,0,1410
2,F02E00,Nonresidential private fixed investment in equipment,33399B,Fluid power process machinery,387,11,59,0,457
2,F02E00,Nonresidential private fixed investment in equipment,334111,Electronic computer manufacturing,38117,631,6961,4655,50365
2,F02E00,Nonresidential private fixed investment in equipment,334112,Computer storage device manufacturing,3657,61,668,303,4688
2,F02E00,Nonresidential private fixed investment in equipment,33411A,Computer terminals and other computer peripheral equipment manufacturing,11875,186,2169,1293,15523
2,F02E00,Nonresidential private fixed investment in equipment,334210,Telephone apparatus manufacturing,16278,269,3685,420,20652
2,F02E00,Nonresidential private fixed investment in equipment,334220,Broadcast and wireless communications equipment,33076,546,7490,0,41112
2,F02E00,Nonresidential private fixed investment in equipment,334290,Other communications equipment manufacturing,813,23,199,0,1035
2,F02E00,Nonresidential private fixed investment in equipment,334300,Audio and video equipment manufacturing,9879,165,1377,874,12294
2,F02E00,Nonresidential private fixed investment in equipment,334510,Electromedical and electrotherapeutic apparatus manufacturing,21488,384,7070,0,28943
2,F02E00,Nonresidential private fixed investment in equipment,334511,"Search, detection, and navigation instruments manufacturing",16238,289,1636,0,18164
2,F02E00,Nonresidential private fixed investment in equipment,334513,Industrial process variable instruments manufacturing,5537,99,558,0,6193
2,F02E00,Nonresidential private fixed investment in equipment,334514,Totalizing fluid meter and counting device manufacturing,2088,61,210,0,2359
2,F02E00,Nonresidential private fixed investment in equipment,334515,Electricity and signal testing instruments manufacturing,4328,123,427,0,4878
2,F02E00,Nonresidential private fixed investment in equipment,334516,Analytical laboratory instrument manufacturing,8791,254,881,0,9927
2,F02E00,Nonresidential private fixed investment in equipment,334517,Irradiation apparatus manufacturing,5652,101,1577,0,7330
2,F02E00,Nonresidential private fixed investment in equipment,33451A,"Watch, clock, and other measuring and controlling device manufacturing",3809,111,384,0,4304
2,F02E00,Nonresidential private fixed investment in equipment,334610,Manufacturing and reproducing magnetic and optical media,477,8,94,0,579
2,F02E00,Nonresidential private fixed investment in equipment,335120,Lighting fixture manufacturing,937,157,263,0,1357
2,F02E00,Nonresidential private fixed investment in equipment,335210,Small electrical appliance manufacturing,249,42,35,0,326
2,F02E00,Nonresidential private fixed investment in equipment,335221,Household cooking appliance manufacturing,21,0,3,0,25
2,F02E00,Nonresidential private fixed investment in equipment,335222,Household refrigerator and home freezer manufacturing,136,4,19,0,158
2,F02E00,Nonresidential private fixed investment in equipment,335224,Household laundry equipment manufacturing,238,5,33,0,276
2,F02E00,Nonresidential private fixed investment in equipment,335228,Other major household appliance manufacturing,43,1,6,0,50
2,F02E00,Nonresidential private fixed investment in equipment,335311,"Power, distribution, and specialty transformer manufacturing",6129,108,1720,0,7957
2,F02E00,Nonresidential private fixed investment in equipment,335312,Motor and generator manufacturing,2905,49,815,0,3770
2,F02E00,Nonresidential private fixed investment in equipment,335313,Switchgear and switchboard apparatus manufacturing,4604,81,1292,0,5977
2,F02E00,Nonresidential private fixed investment in equipment,335314,Relay and industrial control manufacturing,1156,19,324,0,1500
2,F02E00,Nonresidential private fixed investment in equipment,335911,Storage battery manufacturing,297,5,43,0,345
2,F02E00,Nonresidential private fixed investment in equipment,335920,Communication and energy wire and cable manufacturing,293,5,82,0,380
2,F02E00,Nonresidential private fixed investment in equipment,335930,Wiring device manufacturing,57,1,6,0,64
2,F02E00,Nonresidential private fixed investment in equipment,335999,All other miscellaneous electrical equipment and component manufacturing,6826,113,1620,0,8559
2,F02E00,Nonresidential private fixed investment in equipment,336111,Automobile manufacturing,68582,1953,7971,4048,82555
2,F02E00,Nonresidential private fixed investment in equipment,336112,Light truck and utility vehicle manufacturing,98670,2038,1459,3771,105938
2,F02E00,Nonresidential private fixed investment in equipment,336120,Heavy duty truck manufacturing,15683,326,1315,0,17324
2,F02E00,Nonresidential private fixed investment in equipment,336211,Motor vehicle body manufacturing,3295,74,568,38,3976
2,F02E00,Nonresidential private fixed investment in equipment,336212,Truck trailer manufacturing,7151,101,1129,0,8381
2,F02E00,Nonresidential private fixed investment in equipment,336213,Motor home manufacturing,191,3,3,219,416
2,F02E00,Nonresidential private fixed investment in equipment,336214,Travel trailer and camper manufacturing,868,12,13,56,949
2,F02E00,Nonresidential private fixed investment in equipment,336360,Motor vehicle seating and interior trim manufacturing,729,13,22,0,764
2,F02E00,Nonresidential private fixed investment in equipment,336411,Aircraft manufacturing,25621,414,763,0,26797
2,F02E00,Nonresidential private fixed investment in equipment,336412,Aircraft engine and engine parts manufacturing,487,8,15,0,510
2,F02E00,Nonresidential private fixed investment in equipment,336414,Guided missile and space vehicle manufacturing,117,2,0,0,119
2,F02E00,Nonresidential private fixed investment in equipment,336500,Railroad rolling stock manufacturing,8051,288,169,0,8508
2,F02E00,Nonresidential private fixed investment in equipment,336611,Ship building and repairing,4493,72,113,114,4792
2,F02E00,Nonresidential private fixed investment in equipment,336612,Boat building,841,13,21,257,1133
2,F02E00,Nonresidential private fixed investment in equipment,336991,"Motorcycle, bicycle, and parts manufacturing",312,5,33,49,399
2,F02E00,Nonresidential private fixed investment in equipment,336999,All other transportation equipment manufacturing,1281,16,69,406,1771
2,F02E00,Nonresidential private fixed investment in equipment,337110,Wood kitchen cabinet and countertop manufacturing,975,45,136,0,1156
2,F02E00,Nonresidential private fixed investment in equipment,337121,Upholstered household furniture manufacturing,593,97,79,113,882
2,F02E00,Nonresidential private fixed investment in equipment,337122,Nonupholstered wood household furniture manufacturing,745,122,98,145,1111
2,F02E00,Nonresidential private fixed investment in equipment,33712A,Other household nonupholstered furniture,291,48,39,43,421
2,F02E00,Nonresidential private fixed investment in equipment,337127,Institutional furniture manufacturing,7125,1167,971,1108,10371
2,F02E00,Nonresidential private fixed investment in equipment,33721A,Office furniture and custom architectural woodwork and millwork manufacturing,11474,1882,1523,920,15800
2,F02E00,Nonresidential private fixed investment in equipment,337215,"Showcase, partition, shelving, and locker manufacturing",6286,1057,818,186,8347
2,F02E00,Nonresidential private fixed investment in equipment,337900,Other furniture related product manufacturing,968,162,250,56,1436
2,F02E00,Nonresidential private fixed investment in equipment,339112,Surgical and medical instrument manufacturing,17647,316,5807,0,23769
2,F02E00,Nonresidential private fixed investment in equipment,339113,Surgical appliance and supplies manufacturing,5441,97,1790,0,7329
2,F02E00,Nonresidential private fixed investment in equipment,339114,Dental equipment and supplies manufacturing,1644,29,541,0,2214
2,F02E00,Nonresidential private fixed investment in equipment,339920,Sporting and athletic goods manufacturing,1715,319,602,0,2635
2,F02E00,Nonresidential private fixed investment in equipment,339940,Office supplies (except paper) manufacturing,51,10,4,1,66
2,F02E00,Nonresidential private fixed investment in equipment,339950,Sign manufacturing,8213,1363,1619,0,11195
2,F02E00,Nonresidential private fixed investment in equipment,339990,All other miscellaneous manufacturing,6152,1144,3850,238,11384
2,F02E00,Nonresidential private fixed investment in equipment,313200,Fabric mills,4,0,1,5,10
2,F02E00,Nonresidential private fixed investment in equipment,314110,Carpet and rug mills,3458,177,1144,4863,9642
2,F02E00,Nonresidential private fixed investment in equipment,325180,Other basic inorganic chemical manufacturing,3964,0,0,0,3964
2,F02E00,Nonresidential private fixed investment in equipment,326140,Polystyrene foam product manufacturing,0,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,326150,Urethane and other foam product (except polystyrene) manufacturing,23,1,14,38,75
2,F02E00,Nonresidential private fixed investment in equipment,326290,Other rubber product manufacturing,137,3,15,18,174
2,F02E00,Nonresidential private fixed investment in equipment,420000,Wholesale trade,123797,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,441000,Motor vehicle and parts dealers,12198,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,445000,Food and beverage stores,586,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,452000,General merchandise stores,2716,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,4A0000,Other retail,24463,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,481000,Air transportation,2655,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,482000,Rail transportation,2076,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,483000,Water transportation,30,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,484000,Truck transportation,24098,0,0,0,0
2,F02E00,Nonresidential private fixed investment in equipment,517110,Wired telecommunications carriers,7712,0,0,0,7712
2,F02E00,Nonresidential private fixed investment in equipment,541512,Computer systems design services,15152,0,0,0,15152
2,F02E00,Nonresidential private fixed investment in equipment,541300,"Architectural, engineering, and related services",37223,0,0,0,37223
2,F02E00,Nonresidential private fixed investment in equipment,S00401,Scrap,-12234,0,0,0,-12234
2,F02E00,Nonresidential private fixed investment in equipment,S00402,Used and secondhand goods,-79269,5946,6219,3652,-63452
3,F02N00,Nonresidential private fixed investment in intellectual property products,420000,Wholesale trade,9527,0,0,0,0
3,F02N00,Nonresidential private fixed investment in intellectual property products,452000,General merchandise stores,201,0,0,0,0
3,F02N00,Nonresidential private fixed investment in intellectual property products,4A0000,Other retail,2523,0,0,0,0
3,F02N00,Nonresidential private fixed investment in intellectual property products,481000,Air transportation,229,0,0,0,0
3,F02N00,Nonresidential private fixed investment in intellectual property products,483000,Water transportation,0,0,0,0,0
3,F02N00,Nonresidential private fixed investment in intellectual property products,484000,Truck transportation,633,0,0,0,0
3,F02N00,Nonresidential private fixed investment in intellectual property products,511120,Periodical Publishers,198,0,0,0,198
3,F02N00,Nonresidential private fixed investment in intellectual property products,511130,Book publishers,8853,0,0,0,8853
3,F02N00,Nonresidential private fixed investment in intellectual property products,5111A0,"Directory, mailing list, and other publishers",566,0,0,0,566
3,F02N00,Nonresidential private fixed investment in intellectual property products,511200,Software publishers,52412,862,9527,2724,65526
3,F02N00,Nonresidential private fixed investment in intellectual property products,512100,Motion picture and video industries,30389,0,0,0,30389
3,F02N00,Nonresidential private fixed investment in intellectual property products,512200,Sound recording industries,5150,0,0,0,5150
