ind,sig_code,sig_desc
          Farms,111CA,Farms
"          Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities"
          Oil and gas extraction,211,Oil and gas extraction
"          Mining, except oil and gas",212,"Mining, except oil and gas"
          Support activities for mining,213,Support activities for mining
      Utilities,22,Utilities
      Construction,23,Construction
          Wood products,321,Wood products
          Nonmetallic mineral products,327,Nonmetallic mineral products
          Primary metals,331,Primary metals
          Fabricated metal products,332,Fabricated metal products
          Machinery,333,Machinery
          Computer and electronic products,334,Computer and electronic products
"          Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components"
"          Motor vehicles, bodies and trailers, and parts",3361MV,"Motor vehicles, bodies and trailers, and parts"
          Other transportation equipment,3364OT,Other transportation equipment
          Furniture and related products,337,Furniture and related products
          Miscellaneous manufacturing,339,Miscellaneous manufacturing
          Food and beverage and tobacco products,311FT,Food and beverage and tobacco products
          Textile mills and textile product mills,313TT,Textile mills and textile product mills
          Apparel and leather and allied products,315AL,Apparel and leather and allied products
          Paper products,322,Paper products
          Printing and related support activities,323,Printing and related support activities
          Petroleum and coal products,324,Petroleum and coal products
          Chemical products,325,Chemical products
          Plastics and rubber products,326,Plastics and rubber products
      Wholesale trade,42,Wholesale trade
      Retail trade,441,Motor vehicle and parts dealers
      Retail trade,445,Food and beverage stores
      Retail trade,452,General merchandise stores
      Retail trade,4A0,Other retail
          Air transportation,481,Air transportation
          Rail transportation,482,Rail transportation
          Water transportation,483,Water transportation
          Truck transportation,484,Truck transportation
          Transit and ground passenger transportation,485,Transit and ground passenger transportation
          Pipeline transportation,486,Pipeline transportation
          Other transportation and support activities,487OS,Other transportation and support activities
          Warehousing and storage,493,Warehousing and storage
"          Publishing industries, except internet (includes software)",511,"Publishing industries, except internet (includes software)"
          Motion picture and sound recording industries,512,Motion picture and sound recording industries
          Broadcasting and telecommunications,513,Broadcasting and telecommunications
"          Data processing, internet publishing, and other information services",514,"Data processing, internet publishing, and other information services"
"          Federal Reserve banks, credit intermediation, and related activities",521CI,"Federal Reserve banks, credit intermediation, and related activities"
"          Securities, commodity contracts, and investments",523,"Securities, commodity contracts, and investments"
          Insurance carriers and related activities,524,Insurance carriers and related activities
"          Funds, trusts, and other financial vehicles",525,"Funds, trusts, and other financial vehicles"
          Real estate,HS,Housing
          Real estate,ORE,Other real estate
          Rental and leasing services and lessors of intangible assets,532RL,Rental and leasing services and lessors of intangible assets
          Legal services,5411,Legal services
          Computer systems design and related services,5415,Computer systems design and related services
"          Miscellaneous professional, scientific, and technical services",5412OP,"Miscellaneous professional, scientific, and technical services"
      Management of companies and enterprises,55,Management of companies and enterprises
          Administrative and support services,561,Administrative and support services
          Waste management and remediation services,562,Waste management and remediation services
      Educational services,61,Educational services
          Ambulatory health care services,621,Ambulatory health care services
          Hospitals and nursing and residential care facilities,622,Hospitals
          Hospitals and nursing and residential care facilities,623,Nursing and residential care facilities
          Social assistance,624,Social assistance
"          Performing arts, spectator sports, museums, and related activities",711AS,"Performing arts, spectator sports, museums, and related activities"
"          Amusements, gambling, and recreation industries",713,"Amusements, gambling, and recreation industries"
          Accommodation,721,Accommodation
          Food services and drinking places,722,Food services and drinking places
"    Other services, except government",81,"Other services, except government"
          Federal general government,GFGD,Federal general government (defense)
          Federal general government,GFGN,Federal general government (nondefense)
          Federal government enterprises,GFE,Federal government enterprises
          State and local general government,GSLG,State and local general government
          State and local government enterprises,GSLE,State and local government enterprises
