dig_desc,dig_code,intermed,gos
Oilseed farming,1111A0,13594,9967
Grain farming,1111B0,44804,12968
Vegetable and melon farming,111200,9249,6414
Fruit and tree nut farming,111300,6901,7783
"Greenhouse, nursery, and floriculture production",111400,9099,4191
Other crop farming,111900,10943,6176
Dairy cattle and milk production,112120,24194,8980
"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1121A0,33411,20483
Poultry and egg production,112300,28641,2486
"Animal production, except cattle and poultry and eggs",112A00,5982,14757
Forestry and logging,113000,8947,3132
"Fishing, hunting and trapping",114000,2125,3586
Support activities for agriculture and forestry,115000,5090,3898
Oil and gas extraction,211000,71027,155520
Coal mining,212100,18194,14786
"Copper, nickel, lead, and zinc mining",212230,5757,5424
"Iron, gold, silver, and other metal ore mining",2122A0,7052,5013
Stone mining and quarrying,212310,8333,7596
Other nonmetallic mineral mining and quarrying,2123A0,7194,4337
Drilling oil and gas wells,213111,19976,10826
Other support activities for mining,21311A,24055,14000
"Electric power generation, transmission, and distribution",221100,141179,86707
Natural gas distribution,221200,75131,27965
"Water, sewage and other systems",221300,3377,2559
Health care structures,233210,21233,9348
Educational and vocational structures,233262,38484,19562
Nonresidential maintenance and repair,230301,62190,28857
Residential maintenance and repair,230302,29066,13971
Office and commercial structures,2332A0,53882,17185
Multifamily residential structures,233412,25600,15141
Other residential structures,2334A0,123624,54792
Manufacturing structures,233230,11603,3653
Other nonresidential structures,2332D0,47077,18613
Power and communication structures,233240,24850,23474
Single-family residential structures,233411,136483,41270
Transportation structures and highways and streets,2332C0,49714,21173
Sawmills and wood preservation,321100,20909,995
"Veneer, plywood, and engineered wood product manufacturing",321200,16016,919
Millwork,321910,19486,1244
All other wood product manufacturing,3219A0,17813,1583
Clay product and refractory manufacturing,327100,4651,1333
Glass and glass product manufacturing,327200,12423,3992
Cement manufacturing,327310,6911,1822
Ready-mix concrete manufacturing,327320,26208,1994
"Concrete pipe, brick, and block manufacturing",327330,5531,1466
Other concrete product manufacturing,327390,7636,1272
Lime and gypsum product manufacturing,327400,4896,1362
Abrasive product manufacturing,327910,1392,2208
Cut stone and stone product manufacturing,327991,2415,605
Ground or treated mineral and earth manufacturing,327992,1358,1008
Mineral wool manufacturing,327993,3128,1274
Miscellaneous nonmetallic mineral products,327999,1670,907
Iron and steel mills and ferroalloy manufacturing,331110,79015,12767
Steel product manufacturing from purchased steel,331200,15933,1996
Secondary smelting and alloying of aluminum,331314,7199,281
Alumina refining and primary aluminum production,331313,6208,488
Aluminum product manufacturing from purchased aluminum,33131B,21205,1712
Nonferrous Metal (except Aluminum) Smelting and Refining,331410,8474,3831
"Copper rolling, drawing, extruding and alloying",331420,22711,342
"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331490,12158,3486
Ferrous metal foundries,331510,10101,3410
Nonferrous metal foundries,331520,8811,1506
Custom roll forming,332114,6230,1384
"All other forging, stamping, and sintering",33211A,8161,1343
"Metal crown, closure, and other metal stamping (except automotive)",332119,7672,1410
