yk_code,yk_desc,dig_code,dig_desc,pro,tra,who,ret,pur
F02E00,Nonresidential private fixed investment in equipment,2122A0,"Iron, gold, silver, and other metal ore mining",161,21,5,0,188
F02E00,Nonresidential private fixed investment in equipment,21311A,Other support activities for mining,1525,0,0,0,1525
F02E00,Nonresidential private fixed investment in equipment,332200,Cutlery and handtool manufacturing,304,7,107,5,423
F02E00,Nonresidential private fixed investment in equipment,332310,Plate work and fabricated structural product manufacturing,122,3,10,0,135
F02E00,Nonresidential private fixed investment in equipment,332320,Ornamental and architectural metal products manufacturing,417,9,37,0,463
F02E00,Nonresidential private fixed investment in equipment,332410,Power boiler and heat exchanger manufacturing,2924,62,939,0,3925
F02E00,Nonresidential private fixed investment in equipment,332420,Metal tank (heavy gauge) manufacturing,3769,81,135,0,3985
F02E00,Nonresidential private fixed investment in equipment,332430,"Metal can, box, and other metal container (light gauge) manufacturing",179,4,15,0,198
F02E00,Nonresidential private fixed investment in equipment,332500,Hardware manufacturing,286,6,101,0,393
F02E00,Nonresidential private fixed investment in equipment,33291A,Valve and fittings other than plumbing,2687,57,862,0,3607
F02E00,Nonresidential private fixed investment in equipment,332996,Fabricated pipe and pipe fitting manufacturing,759,16,110,0,885
F02E00,Nonresidential private fixed investment in equipment,332999,Other fabricated metal manufacturing,441,9,64,0,514
F02E00,Nonresidential private fixed investment in equipment,333111,Farm machinery and equipment manufacturing,16964,377,4780,0,22121
F02E00,Nonresidential private fixed investment in equipment,333112,Lawn and garden equipment manufacturing,4877,106,1219,10096,16298
F02E00,Nonresidential private fixed investment in equipment,333120,Construction machinery manufacturing,23478,521,3724,0,27723
F02E00,Nonresidential private fixed investment in equipment,333130,Mining and oil and gas field machinery manufacturing,9656,207,2532,0,12395
F02E00,Nonresidential private fixed investment in equipment,333242,Semiconductor machinery manufacturing,6129,131,814,0,7074
F02E00,Nonresidential private fixed investment in equipment,33329A,Other industrial machinery manufacturing,20894,443,2755,0,24091
F02E00,Nonresidential private fixed investment in equipment,333314,Optical instrument and lens manufacturing,2900,62,641,0,3603
F02E00,Nonresidential private fixed investment in equipment,333316,Photographic and photocopying equipment manufacturing,1273,27,716,531,2547
F02E00,Nonresidential private fixed investment in equipment,333318,Other commercial and service industry machinery manufacturing,11455,253,4456,1696,17860
F02E00,Nonresidential private fixed investment in equipment,333414,Heating equipment (except warm air furnaces) manufacturing,93,2,30,0,125
F02E00,Nonresidential private fixed investment in equipment,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",7283,155,2473,0,9911
F02E00,Nonresidential private fixed investment in equipment,333413,Industrial and commercial fan and blower and air purification equipment manufacturing,3167,67,937,0,4171
F02E00,Nonresidential private fixed investment in equipment,333511,Industrial mold manufacturing,5766,123,766,0,6655
F02E00,Nonresidential private fixed investment in equipment,333514,"Special tool, die, jig, and fixture manufacturing",7828,167,1039,0,9034
