peq_code,peq_desc,dig_code,dig_desc,pro,tra,who,ret,pur
4,Computers and peripheral equipment,334111,Electronic computer manufacturing,39605,470,6363,5915,52353
4,Computers and peripheral equipment,334112,Computer storage device manufacturing,8431,100,1354,1161,11046
4,Computers and peripheral equipment,334118,Computer terminals and other computer peripheral equipment manufacturing,11453,133,1840,1644,15070
4,Computers and peripheral equipment,541512,Computer systems design services,14351,0,0,0,14351
4,Computers and peripheral equipment,S00402,Used and secondhand goods,261,1899,405,0,2564
5,Communication equipment,334118,Computer terminals and other computer peripheral equipment manufacturing,134,2,22,181,339
5,Communication equipment,334210,Telephone apparatus manufacturing,14417,168,4283,1780,20648
5,Communication equipment,334220,Broadcast and wireless communications equipment,29178,341,8290,3296,41105
5,Communication equipment,334290,Other communications equipment manufacturing,777,17,241,0,1035
5,Communication equipment,334511,"Search, detection, and navigation instruments manufacturing",14853,175,1386,0,16415
5,Communication equipment,334300,Audio and video equipment manufacturing,9459,112,1582,1139,12292
5,Communication equipment,335920,Communication and energy wire and cable manufacturing,302,4,74,0,379
5,Communication equipment,336414,Guided missile and space vehicle manufacturing,117,1,0,0,119
5,Communication equipment,517110,Wired telecommunications carriers,7710,0,0,0,7710
5,Communication equipment,541300,"Architectural, engineering, and related services",6082,0,0,0,6082
5,Communication equipment,S00402,Used and secondhand goods,34,8,4,0,46
6,Medical equipment and instruments,334510,Electromedical and electrotherapeutic apparatus manufacturing,21692,258,6992,0,28942
6,Medical equipment and instruments,334517,Irradiation apparatus manufacturing,4109,49,1325,0,5483
6,Medical equipment and instruments,337127,Institutional furniture manufacturing,287,40,92,0,419
6,Medical equipment and instruments,339112,Surgical and medical instrument manufacturing,17815,212,5742,0,23769
6,Medical equipment and instruments,339113,Surgical appliance and supplies manufacturing,5493,65,1771,0,7329
6,Medical equipment and instruments,339114,Dental equipment and supplies manufacturing,1659,20,535,0,2214
6,Medical equipment and instruments,541300,"Architectural, engineering, and related services",4157,0,0,0,4157
6,Medical equipment and instruments,S00402,Used and secondhand goods,-1,0,0,0,-1
7,Nonmedical instruments,334513,Industrial process variable instruments manufacturing,5604,66,523,0,6193
7,Nonmedical instruments,334514,Totalizing fluid meter and counting device manufacturing,2116,45,197,0,2359
7,Nonmedical instruments,334516,Analytical laboratory instrument manufacturing,8910,190,827,0,9927
7,Nonmedical instruments,334517,Irradiation apparatus manufacturing,1616,19,212,0,1847
7,Nonmedical instruments,33451A,"Watch, clock, and other measuring and controlling device manufacturing",3651,78,341,0,4070
7,Nonmedical instruments,541300,"Architectural, engineering, and related services",1629,0,0,0,1629
7,Nonmedical instruments,S00402,Used and secondhand goods,18,23,2,0,43
8,Photocopy and related equipment,333314,Optical instrument and lens manufacturing,2900,62,641,0,3603
8,Photocopy and related equipment,333316,Photographic and photocopying equipment manufacturing,1273,27,716,531,2547
8,Photocopy and related equipment,541300,"Architectural, engineering, and related services",377,0,0,0,377
8,Photocopy and related equipment,S00402,Used and secondhand goods,6,8,6,0,20
9,Office and accounting equipment,333318,Other commercial and service industry machinery manufacturing,1259,27,221,1696,3203
9,Office and accounting equipment,334118,Computer terminals and other computer peripheral equipment manufacturing,783,9,126,0,918
9,Office and accounting equipment,339940,Office supplies (except paper) manufacturing,1,0,0,2,3
9,Office and accounting equipment,541300,"Architectural, engineering, and related services",272,0,0,0,272
9,Office and accounting equipment,S00402,Used and secondhand goods,9,12,2,0,23
11,Fabricated metal products,2122A0,"Iron, gold, silver, and other metal ore mining",161,21,5,0,188
11,Fabricated metal products,332200,Cutlery and handtool manufacturing,242,5,85,0,332
11,Fabricated metal products,332310,Plate work and fabricated structural product manufacturing,122,3,10,0,135
11,Fabricated metal products,332320,Ornamental and architectural metal products manufacturing,417,9,37,0,463
11,Fabricated metal products,332410,Power boiler and heat exchanger manufacturing,2924,62,939,0,3925
11,Fabricated metal products,332420,Metal tank (heavy gauge) manufacturing,3769,81,135,0,3985
11,Fabricated metal products,332430,"Metal can, box, and other metal container (light gauge) manufacturing",179,4,15,0,198
11,Fabricated metal products,332500,Hardware manufacturing,286,6,101,0,393
11,Fabricated metal products,33291A,Valve and fittings other than plumbing,2687,57,862,0,3607
11,Fabricated metal products,332996,Fabricated pipe and pipe fitting manufacturing,759,16,110,0,885
11,Fabricated metal products,332999,Other fabricated metal manufacturing,441,9,64,0,514
11,Fabricated metal products,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",33,1,10,0,44
11,Fabricated metal products,337215,"Showcase, partition, shelving, and locker manufacturing",14,2,1,0,17
11,Fabricated metal products,325180,Other Basic Inorganic Chemical Manufacturing,3964,0,0,0,3964
11,Fabricated metal products,541300,"Architectural, engineering, and related services",1128,0,0,0,1128
12,Engines and turbines,333611,Turbine and turbine generator set units manufacturing,6658,143,884,0,7685
12,Engines and turbines,333618,Other engine equipment manufacturing,2607,56,346,69,3077
12,Engines and turbines,541300,"Architectural, engineering, and related services",629,0,0,0,629
13,Metalworking machinery,333511,Industrial mold manufacturing,5766,123,766,0,6655
13,Metalworking machinery,333514,"Special tool, die, jig, and fixture manufacturing",7828,167,1039,0,9034
13,Metalworking machinery,333517,Machine tool manufacturing,7404,156,976,0,8537
13,Metalworking machinery,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",2291,49,304,0,2645
13,Metalworking machinery,541300,"Architectural, engineering, and related services",1767,0,0,0,1767
13,Metalworking machinery,S00402,Used and secondhand goods,-177,0,0,0,-177
14,"Special industry machinery, not elsewhere classified",332200,Cutlery and handtool manufacturing,60,1,21,0,83
14,"Special industry machinery, not elsewhere classified",333242,Semiconductor machinery manufacturing,6129,131,814,0,7074
14,"Special industry machinery, not elsewhere classified",33329A,Other industrial machinery manufacturing,20894,443,2755,0,24091
14,"Special industry machinery, not elsewhere classified",333318,Other commercial and service industry machinery manufacturing,486,11,176,0,674
14,"Special industry machinery, not elsewhere classified",326290,Other rubber product manufacturing,118,2,17,0,138
14,"Special industry machinery, not elsewhere classified",541300,"Architectural, engineering, and related services",2326,0,0,0,2326
14,"Special industry machinery, not elsewhere classified",S00402,Used and secondhand goods,-554,1079,223,0,748
15,"General industrial, including materials handling, equipment",333120,Construction machinery manufacturing,90,2,14,0,106
15,"General industrial, including materials handling, equipment",333414,Heating equipment (except warm air furnaces) manufacturing,93,2,30,0,125
15,"General industrial, including materials handling, equipment",333413,Industrial and commercial fan and blower and air purification equipment manufacturing,3167,67,937,0,4171
15,"General industrial, including materials handling, equipment",333912,Air and gas compressor manufacturing,6291,134,835,0,7260
15,"General industrial, including materials handling, equipment",33391A,Pump and pumping equipment manufacturing,5434,116,722,0,6271
15,"General industrial, including materials handling, equipment",333920,Material handling equipment manufacturing,14289,306,1897,0,16492
15,"General industrial, including materials handling, equipment",333991,Power-driven handtool manufacturing,2193,47,291,2163,4694
15,"General industrial, including materials handling, equipment",333993,Packaging machinery manufacturing,4255,91,565,0,4911
15,"General industrial, including materials handling, equipment",333994,Industrial process furnace and oven manufacturing,1222,26,162,0,1410
15,"General industrial, including materials handling, equipment",33399A,Other general purpose machinery manufacturing,11469,246,1523,0,13238
15,"General industrial, including materials handling, equipment",33399B,Fluid power process machinery,396,8,53,0,457
15,"General industrial, including materials handling, equipment",33451A,"Watch, clock, and other measuring and controlling device manufacturing",210,5,20,0,234
15,"General industrial, including materials handling, equipment",541300,"Architectural, engineering, and related services",4186,0,0,0,4186
15,"General industrial, including materials handling, equipment",S00402,Used and secondhand goods,146,2245,711,0,3102
16,"Electrical transmission, distribution, and industrial apparatus",334515,Electricity and signal testing instruments manufacturing,4385,93,401,0,4878
16,"Electrical transmission, distribution, and industrial apparatus",335311,"Power, distribution, and specialty transformer manufacturing",6326,80,1550,0,7957
16,"Electrical transmission, distribution, and industrial apparatus",335312,Motor and generator manufacturing,2999,36,735,0,3769
16,"Electrical transmission, distribution, and industrial apparatus",335313,Switchgear and switchboard apparatus manufacturing,4752,60,1164,0,5977
16,"Electrical transmission, distribution, and industrial apparatus",335314,Relay and industrial control manufacturing,1193,14,292,0,1500
