dig_code,dig_desc,q
1111A0,Oilseed farming,24160
1111B0,Grain farming,51041
111200,Vegetable and melon farming,18453
111300,Fruit and tree nut farming,18684
111400,"Greenhouse, nursery, and floriculture production",18520
111900,Other crop farming,20112
112120,Dairy cattle and milk production,35638
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",55279
112300,Poultry and egg production,32995
112A00,"Animal production, except cattle and poultry and eggs",23123
113000,Forestry and logging,20971
114000,"Fishing, hunting and trapping",7165
115000,Support activities for agriculture and forestry,23374
211000,Oil and gas extraction,235942
212100,Coal mining,35266
212230,"Copper, nickel, lead, and zinc mining",11297
2122A0,"Iron, gold, silver, and other metal ore mining",12840
212310,Stone mining and quarrying,15038
2123A0,Other nonmetallic mineral mining and quarrying,11939
213111,Drilling oil and gas wells,52687
21311A,Other support activities for mining,63047
221100,"Electric power generation, transmission, and distribution",335964
221200,Natural gas distribution,151800
221300,"Water, sewage and other systems",55274
233210,Health care structures,47403
233262,Educational and vocational structures,89223
230301,Nonresidential maintenance and repair,145634
230302,Residential maintenance and repair,71077
2332A0,Office and commercial structures,153508
233412,Multifamily residential structures,54592
2334A0,Other residential structures,192213
233230,Manufacturing structures,41822
2332D0,Other nonresidential structures,127078
233240,Power and communication structures,93684
233411,Single-family residential structures,307909
2332C0,Transportation structures and highways and streets,111927
321100,Sawmills and wood preservation,30840
321200,"Veneer, plywood, and engineered wood product manufacturing",21321
321910,Millwork,25009
3219A0,All other wood product manufacturing,25468
327100,Clay product and refractory manufacturing,9402
327200,Glass and glass product manufacturing,23574
327310,Cement manufacturing,10181
327320,Ready-mix concrete manufacturing,33750
327330,"Concrete pipe, brick, and block manufacturing",8737
327390,Other concrete product manufacturing,11956
327400,Lime and gypsum product manufacturing,7373
327910,Abrasive product manufacturing,4123
327991,Cut stone and stone product manufacturing,4348
327992,Ground or treated mineral and earth manufacturing,3003
327993,Mineral wool manufacturing,5844
327999,Miscellaneous nonmetallic mineral products,3209
331110,Iron and steel mills and ferroalloy manufacturing,114305
331200,Steel product manufacturing from purchased steel,8776
331313,Alumina refining and primary aluminum production,15832
33131B,Aluminum product manufacturing from purchased aluminum,25169
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,19060
331420,"Copper rolling, drawing, extruding and alloying",24384
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",14144
331510,Ferrous metal foundries,18560
331520,Nonferrous metal foundries,13605
332114,Custom roll forming,7781
33211A,"All other forging, stamping, and sintering",12990
332119,"Metal crown, closure, and other metal stamping (except automotive)",12682
332200,Cutlery and handtool manufacturing,10713
332310,Plate work and fabricated structural product manufacturing,42957
332320,Ornamental and architectural metal products manufacturing,42609
332410,Power boiler and heat exchanger manufacturing,5633
332420,Metal tank (heavy gauge) manufacturing,8510
332430,"Metal can, box, and other metal container (light gauge) manufacturing",16462
332500,Hardware manufacturing,8789
332600,Spring and wire product manufacturing,6722
332710,Machine shops,36197
332720,"Turned product and screw, nut, and bolt manufacturing",24143
332800,"Coating, engraving, heat treating and allied activities",26666
332913,Plumbing fixture fitting and trim manufacturing,4249
33291A,Valve and fittings other than plumbing,22888
332991,Ball and roller bearing manufacturing,7264
332996,Fabricated pipe and pipe fitting manufacturing,7269
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",8559
332999,Other fabricated metal manufacturing,18546
333111,Farm machinery and equipment manufacturing,19861
333112,Lawn and garden equipment manufacturing,6597
333120,Construction machinery manufacturing,30736
333130,Mining and oil and gas field machinery manufacturing,21427
333242,Semiconductor machinery manufacturing,13602
33329A,Other industrial machinery manufacturing,24142
333314,Optical instrument and lens manufacturing,4179
333316,Photographic and photocopying equipment manufacturing,2114
333318,Other commercial and service industry machinery manufacturing,16799
333414,Heating equipment (except warm air furnaces) manufacturing,4746
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",29478
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,5329
333511,Industrial mold manufacturing,6042
333514,"Special tool, die, jig, and fixture manufacturing",8436
333517,Machine tool manufacturing,6114
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",7939
333611,Turbine and turbine generator set units manufacturing,11307
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",3298
333613,Mechanical power transmission equipment manufacturing,4021
333618,Other engine equipment manufacturing,25902
333912,Air and gas compressor manufacturing,9204
33391A,Pump and pumping equipment manufacturing,13078
333920,Material handling equipment manufacturing,26666
333991,Power-driven handtool manufacturing,2609
333993,Packaging machinery manufacturing,4154
333994,Industrial process furnace and oven manufacturing,2345
33399A,Other general purpose machinery manufacturing,16952
33399B,Fluid power process machinery,8717
334111,Electronic computer manufacturing,40720
334112,Computer storage device manufacturing,10081
334118,Computer terminals and other computer peripheral equipment manufacturing,14023
334210,Telephone apparatus manufacturing,21133
334220,Broadcast and wireless communications equipment,38237
334290,Other communications equipment manufacturing,4332
334413,Semiconductor and related device manufacturing,70547
334418,Printed circuit assembly (electronic assembly) manufacturing,23402
33441A,Other electronic component manufacturing,26007
334510,Electromedical and electrotherapeutic apparatus manufacturing,24397
334511,"Search, detection, and navigation instruments manufacturing",45278
334512,Automatic environmental control manufacturing,2942
334513,Industrial process variable instruments manufacturing,9269
334514,Totalizing fluid meter and counting device manufacturing,5409
334515,Electricity and signal testing instruments manufacturing,12210
334516,Analytical laboratory instrument manufacturing,12665
334517,Irradiation apparatus manufacturing,6605
33451A,"Watch, clock, and other measuring and controlling device manufacturing",9003
334300,Audio and video equipment manufacturing,14188
334610,Manufacturing and reproducing magnetic and optical media,6513
335110,Electric lamp bulb and part manufacturing,1973
335120,Lighting fixture manufacturing,11215
335210,Small electrical appliance manufacturing,3235
335221,Household cooking appliance manufacturing,4129
335222,Household refrigerator and home freezer manufacturing,5492
335224,Household laundry equipment manufacturing,3944
335228,Other major household appliance manufacturing,4312
335311,"Power, distribution, and specialty transformer manufacturing",7155
335312,Motor and generator manufacturing,12062
335313,Switchgear and switchboard apparatus manufacturing,10404
335314,Relay and industrial control manufacturing,10316
335911,Storage battery manufacturing,5447
335912,Primary battery manufacturing,3022
335920,Communication and energy wire and cable manufacturing,15422
335930,Wiring device manufacturing,12248
335991,Carbon and graphite product manufacturing,2556
335999,All other miscellaneous electrical equipment and component manufacturing,8920
336111,Automobile manufacturing,80181
336112,Light truck and utility vehicle manufacturing,162233
336120,Heavy duty truck manufacturing,24839
336211,Motor vehicle body manufacturing,6896
336212,Truck trailer manufacturing,7059
336213,Motor home manufacturing,5411
336214,Travel trailer and camper manufacturing,10400
336310,Motor vehicle gasoline engine and engine parts manufacturing,29109
336320,Motor vehicle electrical and electronic equipment manufacturing,18203
