dig_code,dig_desc,x
1111A0,Oilseed farming,24513
1111B0,Grain farming,51786
111200,Vegetable and melon farming,18721
111300,Fruit and tree nut farming,18956
111400,"Greenhouse, nursery, and floriculture production",18577
111900,Other crop farming,21154
112120,Dairy cattle and milk production,36155
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",56006
112300,Poultry and egg production,33477
112A00,"Animal production, except cattle and poultry and eggs",23138
113000,Forestry and logging,19126
114000,"Fishing, hunting and trapping",6951
115000,Support activities for agriculture and forestry,18482
211000,Oil and gas extraction,276911
212100,Coal mining,42771
212230,"Copper, nickel, lead, and zinc mining",12977
2122A0,"Iron, gold, silver, and other metal ore mining",14519
212310,Stone mining and quarrying,19242
2123A0,Other nonmetallic mineral mining and quarrying,14989
213111,Drilling oil and gas wells,40354
21311A,Other support activities for mining,53789
221100,"Electric power generation, transmission, and distribution",317218
221200,Natural gas distribution,123866
221300,"Water, sewage and other systems",10509
233210,Health care structures,45283
233262,Educational and vocational structures,83842
230301,Nonresidential maintenance and repair,142908
230302,Residential maintenance and repair,67347
2332A0,Office and commercial structures,140848
233412,Multifamily residential structures,51564
2334A0,Other residential structures,191681
233230,Manufacturing structures,34346
2332D0,Other nonresidential structures,119474
233240,Power and communication structures,76708
233411,Single-family residential structures,279815
2332C0,Transportation structures and highways and streets,105318
321100,Sawmills and wood preservation,27944
321200,"Veneer, plywood, and engineered wood product manufacturing",21698
321910,Millwork,27953
3219A0,All other wood product manufacturing,25708
327100,Clay product and refractory manufacturing,9768
327200,Glass and glass product manufacturing,23648
327310,Cement manufacturing,10358
327320,Ready-mix concrete manufacturing,34784
327330,"Concrete pipe, brick, and block manufacturing",9010
327390,Other concrete product manufacturing,12079
327400,Lime and gypsum product manufacturing,7509
327910,Abrasive product manufacturing,4450
327991,Cut stone and stone product manufacturing,4427
327992,Ground or treated mineral and earth manufacturing,3155
327993,Mineral wool manufacturing,6002
327999,Miscellaneous nonmetallic mineral products,3273
331110,Iron and steel mills and ferroalloy manufacturing,101939
331200,Steel product manufacturing from purchased steel,22385
331314,Secondary smelting and alloying of aluminum,7766
331313,Alumina refining and primary aluminum production,7841
33131B,Aluminum product manufacturing from purchased aluminum,25905
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,13562
331420,"Copper rolling, drawing, extruding and alloying",25572
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",18199
331510,Ferrous metal foundries,19301
331520,Nonferrous metal foundries,13879
332114,Custom roll forming,8046
33211A,"All other forging, stamping, and sintering",12433
332119,"Metal crown, closure, and other metal stamping (except automotive)",12749
332200,Cutlery and handtool manufacturing,11462
332310,Plate work and fabricated structural product manufacturing,45547
332320,Ornamental and architectural metal products manufacturing,43761
332410,Power boiler and heat exchanger manufacturing,5872
332420,Metal tank (heavy gauge) manufacturing,8697
