dig_code,intermed,gos
1111A0,19759,21959
1111B0,70312,23412
111200,7167,4952
111300,8458,11842
111400,8973,4399
111900,9584,5082
112120,29707,4974
1121A0,54583,21279
112300,33988,1587
112A00,14264,21692
113000,7401,1752
114000,2453,4144
115000,6415,3357
211000,138884,156786
212100,23708,18578
212230,6599,5378
2122A0,11715,7013
212310,7407,5872
2123A0,8588,4932
213111,15183,7994
21311A,42166,21417
221100,144254,118808
221200,33129,28874
221300,4451,3294
233210,17581,7433
233262,28652,12552
230301,99645,31353
230302,39539,11858
2332A0,33146,5915
233412,5714,4895
2334A0,90028,39394
233230,16384,3105
2332D0,48681,8448
233240,35110,23892
233411,52210,11964
2332C0,54471,19209
321100,16931,2068
321200,11811,1760
321910,13574,2171
3219A0,12703,2429
327100,3897,1086
327200,13498,3948
327310,3488,1302
327320,13880,1682
327330,3263,1085
327390,4995,1150
327400,3419,1425
327910,2100,2372
327991,2002,533
327992,1813,1007
327993,2603,1081
327999,2110,1216
331110,90614,13549
331200,18630,2713
331314,5038,364
331313,5027,431
33131B,19583,2172
331410,9134,4368
331420,20269,409
331490,17258,3198
331510,10340,3203
331520,7814,1507
332114,6386,1494
33211A,9558,1454
332119,7548,1210
332200,4796,1542
332310,26658,3320
332320,22199,3190
332410,4057,893
332420,6063,1194
332430,13835,2051
332500,4585,1071
332600,5443,651
332710,19915,2944
332720,16602,6456
332800,15131,4525
332913,2143,738
33291A,16543,4993
332991,3763,995
332996,4958,1065
33299A,6969,3054
332999,8742,1630
333111,24856,5096
333112,5966,872
333120,25116,7283
333130,19817,2941
333242,5894,1784
33329A,13653,3474
333314,2785,86
333316,1549,209
333318,11148,3260
333414,2918,950
333415,18799,5710
333413,3730,706
333511,3319,428
333514,3295,154
333517,5135,558
33351B,4996,968
333611,11061,2731
333612,2776,950
333613,2348,985
333618,20403,3146
333912,6245,1993
33391A,9622,3756
333920,19890,5471
333991,2090,1128
333993,3193,880
333994,1531,367
33399A,13325,3449
33399B,6532,1344
334111,3354,1537
334112,3912,849
334118,4626,3980
334210,4106,3467
334220,12938,11645
334290,2593,546
334413,14828,17826
334418,10601,3251
33441A,14225,1700
334510,6047,14989
334511,11434,20136
334512,1066,131
334513,4299,346
334514,1352,3861
334515,5933,2533
334516,4114,6401
334517,3109,2822
33451A,3024,5037
334300,1188,426
334610,889,1159
335110,930,79
335120,5813,1507
335210,1965,449
335221,2362,1183
335222,1889,467
335224,2381,214
335228,2194,1475
335311,3409,448
335312,6710,1561
335313,6189,1865
335314,5490,79
335911,3782,1349
335912,2246,1765
335920,10589,2399
335930,6447,2944
335991,2056,806
335999,6382,1228
336111,41891,8358
336112,137220,26317
336120,25299,3718
336211,8365,166
336212,6053,433
336213,1714,36
336214,8141,914
336310,23513,2224
336320,15156,1087
336350,27202,2262
336360,18628,859
336370,22227,2696
336390,44611,5084
3363A0,17900,1349
336411,66922,25641
336412,23299,11059
336413,18616,7334
336414,10440,72
33641A,2795,1307
336500,12454,2037
336611,12431,933
336612,4993,468
336991,3210,1507
336992,3648,1265
336999,5271,1024
337110,6520,282
337121,6926,630
337122,2660,140
337127,3168,299
33712N,2117,227
337215,4234,208
33721A,10715,1886
337900,7003,1027
339112,15090,10053
339113,15700,10942
339114,2210,1122
339115,3002,2613
339116,2407,331
339910,4954,1444
339920,6186,1297
339930,907,141
339940,1733,329
339950,6949,546
339990,15335,4426
311111,14795,3212
311119,31502,1802
311210,16904,1385
311221,10681,732
311225,14689,1208
311224,36229,2962
311230,7805,1685
311300,25321,3261
311410,22882,2675
311420,24920,3040
311513,36240,1981
311514,20499,2983
31151A,30799,2640
311520,5262,458
311615,46113,3806
31161A,123427,6261
311700,8691,563
311810,23939,2539
3118A0,19507,3151
311910,22487,5236
311920,10451,1598
311930,4851,1873
311940,14380,2413
311990,17178,1651
312110,35080,3332
312120,18437,6463
312130,10973,2265
312140,6904,2866
312200,15718,22230
313100,6004,417
313200,9960,1699
313300,5366,100
314110,6323,850
314120,2420,361
314900,5696,749
315000,5073,696
316000,4093,846
322110,4314,989
322120,31528,8019
322130,19519,5562
322210,39774,2481
322220,14735,2056
322230,5064,411
322291,7648,1921
322299,3412,664
