agg_code,dig_code,dig_desc,count
11,1111A0,Oilseed farming,1
11,1111B0,Grain farming,1
11,111200,Vegetable and melon farming,1
11,111300,Fruit and tree nut farming,1
11,111400,"Greenhouse, nursery, and floriculture production",1
11,111900,Other crop farming,1
11,112120,Dairy cattle and milk production,1
11,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1
11,112300,Poultry and egg production,1
11,112A00,"Animal production, except cattle and poultry and eggs",1
11,113000,Forestry and logging,1
11,114000,"Fishing, hunting and trapping",1
11,115000,Support activities for agriculture and forestry,1
21,211000,Oil and gas extraction,1
21,212100,Coal mining,1
21,212230,"Copper, nickel, lead, and zinc mining",1
21,2122A0,"Iron, gold, silver, and other metal ore mining",1
21,212310,Stone mining and quarrying,1
21,2123A0,Other nonmetallic mineral mining and quarrying,1
21,213111,Drilling oil and gas wells,1
21,21311A,Other support activities for mining,1
22,221100,"Electric power generation, transmission, and distribution",1
22,221200,Natural gas distribution,1
22,221300,"Water, sewage and other systems",1
23,230301,Nonresidential maintenance and repair,1
23,230302,Residential maintenance and repair,1
23,233210,Health care structures,1
23,233230,Manufacturing structures,1
23,233240,Power and communication structures,1
23,233262,Educational and vocational structures,1
23,233293,Highways and streets,1
23,2332A0,"Commercial structures, including farm structures",1
23,2332B0,Other nonresidential structures,1
23,233411,Single-family residential structures,1
23,233412,Multifamily residential structures,1
23,2334A0,Other residential structures,1
31,311111,Dog and cat food manufacturing,1
31,311119,Other animal food manufacturing,1
31,311210,Flour milling and malt manufacturing,1
31,311221,Wet corn milling,1
31,311225,Fats and oils refining and blending,1
31,31122A,Soybean and other oilseed processing,1
31,311230,Breakfast cereal manufacturing,1
31,311300,Sugar and confectionery product manufacturing,1
31,311410,Frozen food manufacturing,1
31,311420,"Fruit and vegetable canning, pickling, and drying",1
31,311513,Cheese manufacturing,1
31,311514,"Dry, condensed, and evaporated dairy product manufacturing",1
31,31151A,Fluid milk and butter manufacturing,1
31,311520,Ice cream and frozen dessert manufacturing,1
31,311615,Poultry processing,1
31,31161A,"Animal (except poultry) slaughtering, rendering, and processing",1
31,311700,Seafood product preparation and packaging,1
31,311810,Bread and bakery product manufacturing,1
31,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",1
31,311910,Snack food manufacturing,1
31,311920,Coffee and tea manufacturing,1
31,311930,Flavoring syrup and concentrate manufacturing,1
31,311940,Seasoning and dressing manufacturing,1
31,311990,All other food manufacturing,1
31,312110,Soft drink and ice manufacturing,1
31,312120,Breweries,1
31,312130,Wineries,1
31,312140,Distilleries,1
31,312200,Tobacco product manufacturing,1
31,313100,"Fiber, yarn, and thread mills",1
31,313200,Fabric mills,1
31,313300,Textile and fabric finishing and fabric coating mills,1
31,314110,Carpet and rug mills,1
31,314120,Curtain and linen mills,1
31,314900,Other textile product mills,1
31,315000,Apparel manufacturing,1
31,316000,Leather and allied product manufacturing,1
32,321100,Sawmills and wood preservation,1
32,321200,"Veneer, plywood, and engineered wood product manufacturing",1
32,321910,Millwork,1
32,3219A0,All other wood product manufacturing,1
32,322110,Pulp mills,1
32,322120,Paper mills,1
32,322130,Paperboard mills,1
32,322210,Paperboard container manufacturing,1
32,322220,Paper bag and coated and treated paper manufacturing,1
32,322230,Stationery product manufacturing,1
32,322291,Sanitary paper product manufacturing,1
32,322299,All other converted paper product manufacturing,1
32,323110,Printing,1
32,323120,Support activities for printing,1
32,324110,Petroleum refineries,1
32,324121,Asphalt paving mixture and block manufacturing,1
32,324122,Asphalt shingle and coating materials manufacturing,1
32,324190,Other petroleum and coal products manufacturing,1
32,325110,Petrochemical manufacturing,1
32,325120,Industrial gas manufacturing,1
32,325130,Synthetic dye and pigment manufacturing,1
32,325180,Other basic inorganic chemical manufacturing,1
32,325190,Other basic organic chemical manufacturing,1
32,325211,Plastics material and resin manufacturing,1
32,3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,1
32,325310,Fertilizer manufacturing,1
32,325320,Pesticide and other agricultural chemical manufacturing,1
32,325411,Medicinal and botanical manufacturing,1
32,325412,Pharmaceutical preparation manufacturing,1
32,325413,In-vitro diagnostic substance manufacturing,1
32,325414,Biological product (except diagnostic) manufacturing,1
32,325510,Paint and coating manufacturing,1
32,325520,Adhesive manufacturing,1
32,325610,Soap and cleaning compound manufacturing,1
32,325620,Toilet preparation manufacturing,1
32,325910,Printing ink manufacturing,1
32,3259A0,All other chemical product and preparation manufacturing,1
32,326110,Plastics packaging materials and unlaminated film and sheet manufacturing,1
32,326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",1
32,326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",1
32,326140,Polystyrene foam product manufacturing,1
32,326150,Urethane and other foam product (except polystyrene) manufacturing,1
32,326160,Plastics bottle manufacturing,1
32,326190,Other plastics product manufacturing,1
32,326210,Tire manufacturing,1
32,326220,Rubber and plastics hoses and belting manufacturing,1
32,326290,Other rubber product manufacturing,1
32,327100,Clay product and refractory manufacturing,1
32,327200,Glass and glass product manufacturing,1
32,327310,Cement manufacturing,1
32,327320,Ready-mix concrete manufacturing,1
32,327330,"Concrete pipe, brick, and block manufacturing",1
32,327390,Other concrete product manufacturing,1
32,327400,Lime and gypsum product manufacturing,1
32,327910,Abrasive product manufacturing,1
32,327991,Cut stone and stone product manufacturing,1
32,327992,Ground or treated mineral and earth manufacturing,1
32,327993,Mineral wool manufacturing,1
32,327999,Miscellaneous nonmetallic mineral products,1
33,331110,Iron and steel mills and ferroalloy manufacturing,1
33,331200,Steel product manufacturing from purchased steel,1
33,33131A,Alumina refining and primary aluminum production,1
33,33131B,Aluminum product manufacturing from purchased aluminum,1
33,331314,Secondary smelting and alloying of aluminum,1
33,331411,Primary smelting and refining of copper,1
33,331419,Primary smelting and refining of nonferrous metal (except copper and aluminum),1
33,331420,"Copper rolling, drawing, extruding and alloying",1
33,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",1
33,331510,Ferrous metal foundries,1
33,331520,Nonferrous metal foundries,1
33,332114,Custom roll forming,1
33,33211A,"All other forging, stamping, and sintering",1
33,33211B,Crown and closure manufacturing and metal stamping,1
33,332200,Cutlery and handtool manufacturing,1
