dig_code,dig_desc,F06E00,F06N00,F06S00,F07E00,F07N00,F07S00,F10E00,F10N00,F10S00
233210,Health care structures,,,88,,,"1,546",,,"5,714"
233262,Educational and vocational structures,,,290,,,327,,,"71,697"
2332A0,Office and commercial structures,,,"2,035",,,"3,366",,,"6,690"
233412,Multifamily residential structures,,,613,,,,,,"5,019"
2334A0,Other residential structures,,,135,,,,,,"6,388"
233230,Manufacturing structures,,,1,,,642,,,964
2332D0,Other nonresidential structures,,,"3,746",,,"4,297",,,"55,697"
233240,Power and communication structures,,,482,,,228,,,"11,371"
233411,Single-family residential structures,,,"1,998",,,,,,726
2332C0,Transportation structures and highways and streets,,,626,,,937,,,"100,195"
3219A0,All other wood product manufacturing,,,,47,,,,,
332200,Cutlery and handtool manufacturing,4,,,4,,,26,,
332310,Plate work and fabricated structural product manufacturing,,,,6,,,,,
332410,Power boiler and heat exchanger manufacturing,,,,79,,,,,
332420,Metal tank (heavy gauge) manufacturing,,,,,,,4,,
332430,"Metal can, box, and other metal container (light gauge) manufacturing",2,,,27,,,41,,
332710,Machine shops,,,,528,,,,,
33291A,Valve and fittings other than plumbing,443,,,1,,,179,,
332996,Fabricated pipe and pipe fitting manufacturing,1,,,0,,,4,,
33299A,"Ammunition, arms, ordnance, and accessories manufacturing","1,852",,,,,,,,
332999,Other fabricated metal manufacturing,6,,,320,,,"1,524",,
333111,Farm machinery and equipment manufacturing,1,,,126,,,256,,
333112,Lawn and garden equipment manufacturing,3,,,1,,,163,,
333120,Construction machinery manufacturing,27,,,0,,,"1,273",,
33329A,Other industrial machinery manufacturing,16,,,29,,,253,,
333314,Optical instrument and lens manufacturing,432,,,,,,105,,
333316,Photographic and photocopying equipment manufacturing,9,,,3,,,462,,
333318,Other commercial and service industry machinery manufacturing,94,,,28,,,"1,921",,
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",152,,,,,,86,,
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,,,,,,,1,,
333517,Machine tool manufacturing,6,,,32,,,788,,
333611,Turbine and turbine generator set units manufacturing,372,,,367,,,459,,
333618,Other engine equipment manufacturing,,,,6,,,224,,
333912,Air and gas compressor manufacturing,13,,,3,,,,,
33391A,Pump and pumping equipment manufacturing,123,,,7,,,280,,
333920,Material handling equipment manufacturing,40,,,29,,,399,,
333991,Power-driven handtool manufacturing,0,,,,,,521,,
333993,Packaging machinery manufacturing,,,,1,,,,,
333994,Industrial process furnace and oven manufacturing,,,,,,,25,,
33399A,Other general purpose machinery manufacturing,4,,,1,,,186,,
33399B,Fluid power process machinery,36,,,,,,,,
334111,Electronic computer manufacturing,952,,,620,,,"4,259",,
334112,Computer storage device manufacturing,"1,090",,,48,,,"1,882",,
334118,Computer terminals and other computer peripheral equipment manufacturing,74,,,63,,,"1,984",,
334210,Telephone apparatus manufacturing,"3,664",,,"1,560",,,"2,991",,
334220,Broadcast and wireless communications equipment,"6,710",,,"3,663",,,"3,233",,
334290,Other communications equipment manufacturing,41,,,2,,,280,,
334418,Printed circuit assembly (electronic assembly) manufacturing,,,,4,,,,,
33441A,Other electronic component manufacturing,,,,4,,,29,,
334510,Electromedical and electrotherapeutic apparatus manufacturing,267,,,225,,,52,,
334511,"Search, detection, and navigation instruments manufacturing","15,194",,,"2,123",,,"1,140",,
334513,Industrial process variable instruments manufacturing,2,,,3,,,212,,
334514,Totalizing fluid meter and counting device manufacturing,,,,,,,358,,
334515,Electricity and signal testing instruments manufacturing,800,,,14,,,23,,
334516,Analytical laboratory instrument manufacturing,,,,1,,,86,,
334517,Irradiation apparatus manufacturing,84,,,31,,,44,,
33451A,"Watch, clock, and other measuring and controlling device manufacturing",,,,,,,149,,
334300,Audio and video equipment manufacturing,,,,,,,"1,728",,
335120,Lighting fixture manufacturing,,,,,,,46,,
335210,Small electrical appliance manufacturing,12,,,61,,,551,,
335221,Household cooking appliance manufacturing,6,,,,,,463,,
335222,Household refrigerator and home freezer manufacturing,,,,,,,768,,
335224,Household laundry equipment manufacturing,,,,,,,11,,
335311,"Power, distribution, and specialty transformer manufacturing",0,,,303,,,227,,
335312,Motor and generator manufacturing,8,,,320,,,245,,
335313,Switchgear and switchboard apparatus manufacturing,,,,295,,,116,,
335314,Relay and industrial control manufacturing,297,,,460,,,522,,
335920,Communication and energy wire and cable manufacturing,8,,,132,,,,,
335999,All other miscellaneous electrical equipment and component manufacturing,358,,,54,,,326,,
336111,Automobile manufacturing,"4,702",,,123,,,"4,229",,
336112,Light truck and utility vehicle manufacturing,5,,,3,,,156,,
336120,Heavy duty truck manufacturing,206,,,103,,,"6,159",,
336211,Motor vehicle body manufacturing,,,,124,,,,,
336212,Truck trailer manufacturing,250,,,14,,,,,
336360,Motor vehicle seating and interior trim manufacturing,,,,1,,,0,,
336411,Aircraft manufacturing,"12,953",,,243,,,8,,
336412,Aircraft engine and engine parts manufacturing,238,,,,,,,,
336414,Guided missile and space vehicle manufacturing,"3,878",,,"1,746",,,,,
33641A,Propulsion units and parts for space vehicles and guided missiles,,,,"1,466",,,,,
336500,Railroad rolling stock manufacturing,13,,,34,,,"1,050",,
336611,Ship building and repairing,"7,790",,,64,,,37,,
336612,Boat building,179,,,371,,,45,,
336991,"Motorcycle, bicycle, and parts manufacturing",,,,,,,308,,
336992,"Military armored vehicle, tank, and tank component manufacturing","7,177",,,,,,,,
336999,All other transportation equipment manufacturing,60,,,,,,227,,
337121,Upholstered household furniture manufacturing,,,,0,,,1,,
337122,Nonupholstered wood household furniture manufacturing,0,,,7,,,8,,
337127,Institutional furniture manufacturing,0,,,1,,,554,,
337215,"Showcase, partition, shelving, and locker manufacturing",0,,,3,,,258,,
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,0,,,12,,,"1,273",,
337900,Other furniture related product manufacturing,,,,,,,39,,
339112,Surgical and medical instrument manufacturing,33,,,7,,,72,,
339113,Surgical appliance and supplies manufacturing,4,,,75,,,675,,
339114,Dental equipment and supplies manufacturing,39,,,72,,,20,,
339920,Sporting and athletic goods manufacturing,0,,,1,,,328,,
339940,Office supplies (except paper) manufacturing,,,,1,,,264,,
339950,Sign manufacturing,0,,,2,,,,,
339990,All other miscellaneous manufacturing,11,,,,,,98,,
314110,Carpet and rug mills,,,,1,,,11,,
314900,Other textile product mills,,,,44,,,,,
326290,Other rubber product manufacturing,,,,21,,,,,
511200,Software publishers,,"1,230",,,"1,670",,,"2,548",
518200,"Data processing, hosting, and related services",,379,,,381,,,"1,277",
541511,Custom computer programming services,,"5,229",,,"12,532",,,"8,688",
541512,Computer systems design services,"1,032",,,,,,688,,
541700,Scientific research and development services,,"62,523",,,"56,820",,,"14,103",
S00402,Used and secondhand goods,0,,-4,-38,,15,"-3,396",,"6,892"
